C2 d 3 Pi                                         


  RMIN = 0.750  MAXV   = 12  BE =    1.7527
  RMAX = 3.500  KDMAXV = 12  RE =    1.2664
  DELR = 0.005  NEIG   =  0  DE =48627.3008
  ZMU  = 6.000
 Debugging
 C2 d 3 Pi                                                    0           1           0           0           2   6.00000000      0.750000000       3.50000000       4.99999989E-03          12   1.75269997       48627.3008              12           0
   0.00000000       890.000000       2645.34009       4367.79980       6057.37988       7714.08008       9337.90039       10928.7998       12486.9004       14012.0996       15504.4004       16963.8008       18390.3008       19784.0000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       1.75269997       1.74466002       1.72858000       1.71249998       1.69641995       1.68034005       1.66426003       1.64818001       1.63209999       1.61601996       1.59993994       1.58386004       1.56778002       1.55170000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000    


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.045 TO   1.665 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         1.3050             392.334         1.3100             495.273         1.3150             608.900
         1.3200             732.842         1.3250             866.734         1.3300            1010.221
         1.3350            1162.953         1.3400            1324.588         1.3450            1494.780
         1.3500            1673.208         1.3550            1859.557         1.3600            2053.494
         1.3650            2254.746         1.3700            2462.976         1.3750            2677.922
         1.3800            2899.247         1.3850            3126.766         1.3900            3360.131
         1.3950            3599.072         1.4000            3843.377         1.4050            4092.792
         1.4100            4346.989         1.4150            4605.846         1.4200            4869.051
1
         1.4250            5136.454         1.4300            5407.747         1.4350            5682.718
         1.4400            5961.280         1.4450            6243.090         1.4500            6528.000
         1.4550            6815.875         1.4600            7106.410         1.4650            7399.571
         1.4700            7695.040         1.4750            7992.696         1.4800            8292.445
         1.4850            8594.132         1.4900            8897.414         1.4950            9202.282
         1.5000            9508.488         1.5050            9816.132         1.5100           10124.865
         1.5150           10434.469         1.5200           10745.174         1.5250           11056.626
         1.5300           11368.806         1.5350           11681.256         1.5400           11994.238
         1.5450           12307.614         1.5500           12621.126         1.5550           12934.593
         1.5600           13248.141         1.5650           13561.480         1.5700           13874.715
         1.5750           14187.641         1.5800           14500.118         1.5850           14812.123
         1.5900           15123.756         1.5950           15434.688         1.6000           15744.997
         1.6050           16054.410         1.6100           16363.020         1.6150           16670.770
         1.6200           16977.568         1.6250           17283.291         1.6300           17588.100
         1.6350           17891.641         1.6400           18194.016         1.6450           18495.197
         1.6500           18795.090         1.6550           19093.699         1.6600           19390.957
         1.6650           19686.932         1.6700           19980.900         1.6750           20273.357
         1.6800           20564.092         1.6850           20853.059         1.6900           21140.254
         1.6950           21425.623         1.7000           21709.162         1.7050           21990.824
         1.7100           22270.613         1.7150           22548.480         1.7200           22824.434
         1.7250           23098.428         1.7300           23370.467         1.7350           23640.514
         1.7400           23908.582         1.7450           24174.627         1.7500           24438.662
         1.7550           24700.658         1.7600           24960.611         1.7650           25218.520
         1.7700           25474.367         1.7750           25728.148         1.7800           25979.861
         1.7850           26229.496         1.7900           26477.055         1.7950           26722.527
         1.8000           26965.916         1.8050           27207.215         1.8100           27446.430
         1.8150           27683.551         1.8200           27918.586         1.8250           28151.541
         1.8300           28382.404         1.8350           28611.188         1.8400           28837.904
         1.8450           29062.537         1.8500           29285.102         1.8550           29505.598
         1.8600           29724.033         1.8650           29940.414         1.8700           30154.750
         1.8750           30367.047         1.8800           30577.307         1.8850           30785.537
         1.8900           30991.756         1.8950           31195.959         1.9000           31398.162
         1.9050           31598.377         1.9100           31796.605         1.9150           31992.857
         1.9200           32187.148         1.9250           32379.488         1.9300           32569.887
         1.9350           32758.354         1.9400           32944.898         1.9450           33129.531
         1.9500           33312.270         1.9550           33493.117         1.9600           33672.094
         1.9650           33849.207         1.9700           34024.477         1.9750           34197.898
         1.9800           34369.496         1.9850           34539.281         1.9900           34707.266
         1.9950           34873.465         2.0000           35037.883         2.0050           35200.551
         2.0100           35361.457         2.0150           35520.633         2.0200           35678.090
         2.0250           35833.840         2.0300           35987.887         2.0350           36140.254
         2.0400           36290.957         2.0450           36440.008         2.0500           36587.410
         2.0550           36733.184         2.0600           36877.348         2.0650           37019.918
         2.0700           37160.891         2.0750           37300.293         2.0800           37438.145
         2.0850           37574.445         2.0900           37709.207         2.0950           37842.461
1
         2.1000           37974.203         2.1050           38104.457         2.1100           38233.238
         2.1150           38360.551         2.1200           38486.410         2.1250           38610.836
         2.1300           38733.848         2.1350           38855.438         2.1400           38975.629
         2.1450           39094.445         2.1500           39211.891         2.1550           39327.980
         2.1600           39442.723         2.1650           39556.137         2.1700           39668.238
         2.1750           39779.027         2.1800           39888.527         2.1850           39996.754
         2.1900           40103.719         2.1950           40209.422         2.2000           40313.887
         2.2050           40417.129         2.2100           40519.152         2.2150           40619.973
         2.2200           40719.605         2.2250           40818.059         2.2300           40915.352
         2.2350           41011.492         2.2400           41106.480         2.2450           41200.348
         2.2500           41293.102         2.2550           41384.746         2.2600           41475.293
         2.2650           41564.754         2.2700           41653.156         2.2750           41740.496
         2.2800           41826.789         2.2850           41912.039         2.2900           41996.270
         2.2950           42079.488         2.3000           42161.703         2.3050           42242.918
         2.3100           42323.164         2.3150           42402.438         2.3200           42480.746
         2.3250           42558.105         2.3300           42634.535         2.3350           42710.027
         2.3400           42784.609         2.3450           42858.273         2.3500           42931.055
         2.3550           43002.945         2.3600           43073.957         2.3650           43144.098
         2.3700           43213.383         2.3750           43281.820         2.3800           43349.422
         2.3850           43416.191         2.3900           43482.141         2.3950           43547.289
         2.4000           43611.633         2.4050           43675.184         2.4100           43737.953
         2.4150           43799.949         2.4200           43861.184         2.4250           43921.660
         2.4300           43981.387         2.4350           44040.379         2.4400           44098.648
         2.4450           44156.191         2.4500           44213.020         2.4550           44269.145
         2.4600           44324.574         2.4650           44379.316         2.4700           44433.379
         2.4750           44486.773         2.4800           44539.496         2.4850           44591.570
         2.4900           44642.992         2.4950           44693.773         2.5000           44743.926
         2.5050           44793.449         2.5100           44842.359         2.5150           44890.648
         2.5200           44938.344         2.5250           44985.445         2.5300           45031.953
         2.5350           45077.875         2.5400           45123.227         2.5450           45168.012
         2.5500           45212.227         2.5550           45255.895         2.5600           45299.012
         2.5650           45341.594         2.5700           45383.633         2.5750           45425.148
         2.5800           45466.141         2.5850           45506.621         2.5900           45546.582
         2.5950           45586.047         2.6000           45625.016         2.6050           45663.492
         2.6100           45701.484         2.6150           45738.996         2.6200           45776.031
         2.6250           45812.602         2.6300           45848.715         2.6350           45884.363
         2.6400           45919.570         2.6450           45954.328         2.6500           45988.645
         2.6550           46022.527         2.6600           46055.980         2.6650           46089.012
         2.6700           46121.625         2.6750           46153.820         2.6800           46185.609
         2.6850           46216.996         2.6900           46247.992         2.6950           46278.586
         2.7000           46308.793         2.7050           46338.617         2.7100           46368.062
         2.7150           46397.129         2.7200           46425.832         2.7250           46454.168
         2.7300           46482.145         2.7350           46509.766         2.7400           46537.031
         2.7450           46563.949         2.7500           46590.531         2.7550           46616.770
         2.7600           46642.680         2.7650           46668.250         2.7700           46693.496
1
         2.7750           46718.426         2.7800           46743.035         2.7850           46767.328
         2.7900           46791.316         2.7950           46814.988         2.8000           46838.367
         2.8050           46861.441         2.8100           46884.223         2.8150           46906.715
         2.8200           46928.922         2.8250           46950.840         2.8300           46972.480
         2.8350           46993.844         2.8400           47014.930         2.8450           47035.746
         2.8500           47056.305         2.8550           47076.590         2.8600           47096.621
         2.8650           47116.391         2.8700           47135.914         2.8750           47155.184
         2.8800           47174.203         2.8850           47192.980         2.8900           47211.520
         2.8950           47229.816         2.9000           47247.883         2.9050           47265.715
         2.9100           47283.320         2.9150           47300.699         2.9200           47317.852
         2.9250           47334.785         2.9300           47351.508         2.9350           47368.004
         2.9400           47384.301         2.9450           47400.375         2.9500           47416.250
         2.9550           47431.918         2.9600           47447.391         2.9650           47462.656
         2.9700           47477.730         2.9750           47492.617         2.9800           47507.301
         2.9850           47521.801         2.9900           47536.113         2.9950           47550.242
         3.0000           47564.188         3.0050           47577.957         3.0100           47591.539
         3.0150           47604.957         3.0200           47618.199         3.0250           47631.266
         3.0300           47644.172         3.0350           47656.910         3.0400           47669.480
         3.0450           47681.887         3.0500           47694.141         3.0550           47706.230
         3.0600           47718.168         3.0650           47729.953         3.0700           47741.582
         3.0750           47753.059         3.0800           47764.395         3.0850           47775.578
         3.0900           47786.617         3.0950           47797.520         3.1000           47808.273
         3.1050           47818.895         3.1100           47829.375         3.1150           47839.723
         3.1200           47849.938         3.1250           47860.020         3.1300           47869.965
         3.1350           47879.793         3.1400           47889.488         3.1450           47899.059
         3.1500           47908.504         3.1550           47917.832         3.1600           47927.031
         3.1650           47936.117         3.1700           47945.086         3.1750           47953.938
         3.1800           47962.676         3.1850           47971.301         3.1900           47979.809
         3.1950           47988.215         3.2000           47996.508         3.2050           48004.691
         3.2100           48012.773         3.2150           48020.754         3.2200           48028.629
         3.2250           48036.395         3.2300           48044.066         3.2350           48051.637
         3.2400           48059.113         3.2450           48066.484         3.2500           48073.770
         3.2550           48080.957         3.2600           48088.047         3.2650           48095.051
         3.2700           48101.965         3.2750           48108.785         3.2800           48115.520
         3.2850           48122.164         3.2900           48128.723         3.2950           48135.195
         3.3000           48141.594         3.3050           48147.898         3.3100           48154.125
         3.3150           48160.270         3.3200           48166.340         3.3250           48172.328
         3.3300           48178.234         3.3350           48184.070         3.3400           48189.828
         3.3450           48195.512         3.3500           48201.117         3.3550           48206.656
         3.3600           48212.125         3.3650           48217.516         3.3700           48222.840
         3.3750           48228.098         3.3800           48233.285         3.3850           48238.402
         3.3900           48243.457         3.3950           48248.445         3.4000           48253.367
         3.4050           48258.230         3.4100           48263.023         3.4150           48267.758
         3.4200           48272.430         3.4250           48277.039         3.4300           48281.598
         3.4350           48286.086         3.4400           48290.523         3.4450           48294.902
1
         3.4500           48299.223         3.4550           48303.488         3.4600           48307.699
         3.4650           48311.852         3.4700           48315.949         3.4750           48320.000
         3.4800           48323.992         3.4850           48327.934         3.4900           48331.828
         3.4950           48335.672         3.5000           48339.461
1V'  B(V)  (CAL)   B(V)  (OBS)    DEVIATION        E(V) (CALC)   E(V) (OBS)   DEVIATION        RMIN     RMAX
   -1   1.7527         1.7527      0.0000              0.0000        0.0000      0.0000      1.2664      1.2664
    0   1.7447         1.7447      0.0001            888.5820      890.0000     -1.4180      1.2133      1.3258
    1   1.7287         1.7286      0.0001           2643.6797     2645.3401     -1.6604      1.1777      1.3743
    2   1.7126         1.7125      0.0001           4365.9570     4367.7998     -1.8428      1.1547      1.4104
    3   1.6965         1.6964      0.0001           6055.3516     6057.3799     -2.0283      1.1367      1.4417
    4   1.6805         1.6803      0.0001           7711.8633     7714.0801     -2.2168      1.1216      1.4703
    5   1.6644         1.6643      0.0001           9335.5000     9337.9004     -2.4004      1.1085      1.4972
    6   1.6483         1.6482      0.0001          10926.2852    10928.7998     -2.5146      1.0968      1.5229
    7   1.6321         1.6321      0.0000          12484.3086    12486.9004     -2.5918      1.0861      1.5479
    8   1.6158         1.6160     -0.0003          14009.7695    14012.0996     -2.3301      1.0763      1.5722
    9   1.5990         1.5999     -0.0009          15503.0078    15504.4004     -1.3926      1.0671      1.5961
   10   1.5817         1.5839     -0.0022          16964.6074    16963.8008      0.8066      1.0585      1.6198
   11   1.5633         1.5678     -0.0045          18395.4922    18390.3008      5.1914      1.0504      1.6433
   12   1.5436         1.5517     -0.0081          19796.7109    19784.0000     12.7109      1.0427      1.6666
  NOISE FACTOR HAS MAXIMUM VALUE OF   0.20E-10
C2 a 3 Pi                                         


  RMIN = 0.750  MAXV   = 12  BE =    1.6325
  RMAX = 3.500  KDMAXV = 12  RE =    1.3122
  DELR = 0.005  NEIG   =  0  DE =57712.6992
  ZMU  = 6.000
 Debugging
 C2 a 3 Pi                                                    0           1           0           0           2   6.00000000      0.750000000       3.50000000       4.99999989E-03          12   1.63246000       57712.6992              12           0
   0.00000000       817.757019       2435.77002       4030.43994       5601.77002       7149.75977       8674.41016       10175.7002       11653.7002       13108.2998       14539.5996       15947.5996       17332.1992       18693.4004       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       1.63246000       1.62416005       1.60755002       1.59092999       1.57431996       1.55771005       1.54110003       1.52449000       1.50787997       1.49126995       1.47467005       1.45806003       1.44145000       1.42483997       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000    


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.095 TO   1.725 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         0.7500          265731.031         0.7550          257888.047         0.7600          250240.359
         0.7650          242783.531         0.7700          235513.469         0.7750          228425.891
         0.7800          221516.922         0.7850          214782.312         0.7900          208218.547
         0.7950          201821.641         0.8000          195587.906         0.8050          189513.688
         0.8100          183595.469         0.8150          177829.719         0.8200          172213.031
         0.8250          166741.984         0.8300          161413.484         0.8350          156224.250
         0.8400          151171.109         0.8450          146250.953         0.8500          141460.938
         0.8550          136798.031         0.8600          132259.391         0.8650          127842.195
         0.8700          123543.672         0.8750          119361.109         0.8800          115291.891
         0.8850          111333.469         0.8900          107483.297         0.8950          103738.898
         0.9000          100097.820         0.9050           96557.742         0.9100           93116.336
         0.9150           89771.320         0.9200           86520.445         0.9250           83361.633
         0.9300           80292.711         0.9350           77311.578         0.9400           74416.234
         0.9450           71604.656         0.9500           68874.930         0.9550           66225.109
         0.9600           63653.359         0.9650           61157.832         0.9700           58736.777
         0.9750           56388.410         0.9800           54111.066         0.9850           51903.043
         0.9900           49762.688         0.9950           47688.438         1.0000           45678.707
         1.0050           43731.969         1.0100           41846.730         1.0150           40021.508
         1.0200           38254.867         1.0250           36545.430         1.0300           34891.809
         1.0350           33292.652         1.0400           31746.668         1.0450           30252.547
         1.0500           28809.039         1.0550           27414.896         1.0600           26069.008
         1.0650           24770.068         1.0700           23517.047         1.0750           22308.713
         1.0800           21144.066         1.0850           20021.924         1.0900           18941.316
         1.0950           17889.168         1.1000           16901.244         1.1050           15948.339
         1.1100           15030.606         1.1150           14147.034         1.1200           13297.872
         1.1250           12482.155         1.1300           11699.431         1.1350           10948.558
         1.1400           10229.421         1.1450            9541.056         1.1500            8883.021
         1.1550            8254.721         1.1600            7655.180         1.1650            7083.743
         1.1700            6539.843         1.1750            6022.791         1.1800            5531.930
         1.1850            5066.568         1.1900            4625.985         1.1950            4209.600
         1.2000            3816.789         1.2050            3446.950         1.2100            3099.403
         1.2150            2773.617         1.2200            2468.967         1.2250            2184.929
         1.2300            1920.865         1.2350            1676.274         1.2400            1450.589
         1.2450            1243.277         1.2500            1053.838         1.2550             881.760
         1.2600             726.545         1.2650             587.706         1.2700             464.780
         1.2750             357.303         1.2800             264.827         1.2850             186.911
         1.2900             123.155         1.2950              73.104         1.3000              36.342
         1.3050              12.478         1.3100               1.128         1.3150               1.914
         1.3200              14.471         1.3250              38.438         1.3300              73.464
         1.3350             119.207         1.3400             175.332         1.3450             241.513
         1.3500             317.431         1.3550             402.776         1.3600             497.247
         1.3650             600.546         1.3700             712.383         1.3750             832.481
         1.3800             960.564         1.3850            1096.363         1.3900            1239.613
         1.3950            1390.064         1.4000            1547.479         1.4050            1711.602
         1.4100            1882.197         1.4150            2059.044         1.4200            2241.924
1
         1.4250            2430.586         1.4300            2624.847         1.4350            2824.512
         1.4400            3029.345         1.4450            3239.149         1.4500            3453.765
         1.4550            3672.976         1.4600            3896.620         1.4650            4124.513
         1.4700            4356.507         1.4750            4592.389         1.4800            4832.003
         1.4850            5075.228         1.4900            5321.901         1.4950            5571.824
         1.5000            5824.865         1.5050            6080.920         1.5100            6339.867
         1.5150            6601.387         1.5200            6865.613         1.5250            7132.229
         1.5300            7401.180         1.5350            7672.351         1.5400            7945.529
         1.5450            8220.729         1.5500            8497.757         1.5550            8776.544
         1.5600            9056.889         1.5650            9338.889         1.5700            9622.106
         1.5750            9906.790         1.5800           10192.828         1.5850           10479.886
         1.5900           10768.037         1.5950           11057.092         1.6000           11347.053
         1.6050           11637.916         1.6100           11929.139         1.6150           12221.215
         1.6200           12513.896         1.6250           12806.809         1.6300           13100.426
         1.6350           13394.226         1.6400           13688.483         1.6450           13982.783
         1.6500           14277.174         1.6550           14571.801         1.6600           14866.421
         1.6650           15160.943         1.6700           15455.450         1.6750           15749.726
         1.6800           16043.673         1.6850           16337.347         1.6900           16630.717
         1.6950           16923.896         1.7000           17216.523         1.7050           17508.594
         1.7100           17800.322         1.7150           18091.359         1.7200           18381.762
         1.7250           18671.855         1.7300           18960.854         1.7350           19249.277
         1.7400           19536.926         1.7450           19823.742         1.7500           20109.695
         1.7550           20394.760         1.7600           20678.896         1.7650           20962.074
         1.7700           21244.271         1.7750           21525.455         1.7800           21805.594
         1.7850           22084.668         1.7900           22362.652         1.7950           22639.518
         1.8000           22915.246         1.8050           23189.807         1.8100           23463.191
         1.8150           23735.365         1.8200           24006.312         1.8250           24276.027
         1.8300           24544.473         1.8350           24811.643         1.8400           25077.525
         1.8450           25342.090         1.8500           25605.336         1.8550           25867.236
         1.8600           26127.781         1.8650           26386.967         1.8700           26644.775
         1.8750           26901.186         1.8800           27156.207         1.8850           27409.812
         1.8900           27661.998         1.8950           27912.760         1.9000           28162.080
         1.9050           28409.957         1.9100           28656.377         1.9150           28901.340
         1.9200           29144.834         1.9250           29386.861         1.9300           29627.406
         1.9350           29866.477         1.9400           30104.053         1.9450           30340.143
         1.9500           30574.732         1.9550           30807.830         1.9600           31039.428
         1.9650           31269.520         1.9700           31498.117         1.9750           31725.199
         1.9800           31950.773         1.9850           32174.844         1.9900           32397.402
         1.9950           32618.449         2.0000           32837.984         2.0050           33056.023
         2.0100           33272.539         2.0150           33487.551         2.0200           33701.059
         2.0250           33913.074         2.0300           34123.570         2.0350           34332.566
         2.0400           34540.078         2.0450           34746.090         2.0500           34950.594
         2.0550           35153.621         2.0600           35355.152         2.0650           35555.211
         2.0700           35753.781         2.0750           35950.879         2.0800           36146.512
         2.0850           36340.668         2.0900           36533.359         2.0950           36724.605
1
         2.1000           36914.375         2.1050           37102.711         2.1100           37289.602
         2.1150           37475.047         2.1200           37659.055         2.1250           37841.645
         2.1300           38022.812         2.1350           38202.551         2.1400           38380.875
         2.1450           38557.812         2.1500           38733.340         2.1550           38907.469
         2.1600           39080.211         2.1650           39251.582         2.1700           39421.578
         2.1750           39590.195         2.1800           39757.457         2.1850           39923.359
         2.1900           40087.922         2.1950           40251.141         2.2000           40413.016
         2.2050           40573.578         2.2100           40732.816         2.2150           40890.734
         2.2200           41047.344         2.2250           41202.668         2.2300           41356.695
         2.2350           41509.445         2.2400           41660.898         2.2450           41811.098
         2.2500           41960.023         2.2550           42107.707         2.2600           42254.133
         2.2650           42399.324         2.2700           42543.289         2.2750           42686.023
         2.2800           42827.535         2.2850           42967.840         2.2900           43106.949
         2.2950           43244.863         2.3000           43381.582         2.3050           43517.125
         2.3100           43651.504         2.3150           43784.723         2.3200           43916.777
         2.3250           44047.676         2.3300           44177.449         2.3350           44306.090
         2.3400           44433.598         2.3450           44559.988         2.3500           44685.273
         2.3550           44809.457         2.3600           44932.555         2.3650           45054.551
         2.3700           45175.473         2.3750           45295.332         2.3800           45414.117
         2.3850           45531.852         2.3900           45648.539         2.3950           45764.180
         2.4000           45878.801         2.4050           45992.379         2.4100           46104.953
         2.4150           46216.512         2.4200           46327.078         2.4250           46436.637
         2.4300           46545.207         2.4350           46652.805         2.4400           46759.434
         2.4450           46865.090         2.4500           46969.789         2.4550           47073.539
         2.4600           47176.348         2.4650           47278.215         2.4700           47379.160
         2.4750           47479.180         2.4800           47578.293         2.4850           47676.492
         2.4900           47773.789         2.4950           47870.199         2.5000           47965.727
         2.5050           48060.371         2.5100           48154.148         2.5150           48247.059
         2.5200           48339.109         2.5250           48430.312         2.5300           48520.668
         2.5350           48610.191         2.5400           48698.879         2.5450           48786.754
         2.5500           48873.809         2.5550           48960.051         2.5600           49045.492
         2.5650           49130.145         2.5700           49213.996         2.5750           49297.066
         2.5800           49379.367         2.5850           49460.895         2.5900           49541.656
         2.5950           49621.660         2.6000           49700.918         2.6050           49779.434
         2.6100           49857.207         2.6150           49934.250         2.6200           50010.562
         2.6250           50086.164         2.6300           50161.051         2.6350           50235.227
         2.6400           50308.699         2.6450           50381.484         2.6500           50453.582
         2.6550           50524.992         2.6600           50595.723         2.6650           50665.785
         2.6700           50735.184         2.6750           50803.922         2.6800           50872.004
         2.6850           50939.441         2.6900           51006.242         2.6950           51072.395
         2.7000           51137.918         2.7050           51202.824         2.7100           51267.109
         2.7150           51330.773         2.7200           51393.828         2.7250           51456.281
         2.7300           51518.141         2.7350           51579.406         2.7400           51640.082
         2.7450           51700.176         2.7500           51759.688         2.7550           51818.637
         2.7600           51877.012         2.7650           51934.828         2.7700           51992.090
1
         2.7750           52048.797         2.7800           52104.961         2.7850           52160.578
         2.7900           52215.664         2.7950           52270.211         2.8000           52324.234
         2.8050           52377.742         2.8100           52430.723         2.8150           52483.195
         2.8200           52535.164         2.8250           52586.617         2.8300           52637.578
         2.8350           52688.043         2.8400           52738.023         2.8450           52787.516
         2.8500           52836.527         2.8550           52885.059         2.8600           52933.121
         2.8650           52980.727         2.8700           53027.852         2.8750           53074.527
         2.8800           53120.742         2.8850           53166.512         2.8900           53211.836
         2.8950           53256.711         2.9000           53301.152         2.9050           53345.164
         2.9100           53388.738         2.9150           53431.887         2.9200           53474.621
         2.9250           53516.934         2.9300           53558.832         2.9350           53600.316
         2.9400           53641.398         2.9450           53682.078         2.9500           53722.355
         2.9550           53762.242         2.9600           53801.734         2.9650           53840.840
         2.9700           53879.566         2.9750           53917.902         2.9800           53955.867
         2.9850           53993.457         2.9900           54030.684         2.9950           54067.539
         3.0000           54104.031         3.0050           54140.164         3.0100           54175.949
         3.0150           54211.375         3.0200           54246.445         3.0250           54281.176
         3.0300           54315.570         3.0350           54349.613         3.0400           54383.328
         3.0450           54416.711         3.0500           54449.762         3.0550           54482.492
         3.0600           54514.887         3.0650           54546.969         3.0700           54578.730
         3.0750           54610.184         3.0800           54641.324         3.0850           54672.156
         3.0900           54702.676         3.0950           54732.902         3.1000           54762.824
         3.1050           54792.449         3.1100           54821.785         3.1150           54850.832
         3.1200           54879.586         3.1250           54908.059         3.1300           54936.238
         3.1350           54964.152         3.1400           54991.773         3.1450           55019.141
         3.1500           55046.223         3.1550           55073.039         3.1600           55099.582
         3.1650           55125.871         3.1700           55151.895         3.1750           55177.664
         3.1800           55203.172         3.1850           55228.426         3.1900           55253.430
         3.1950           55278.184         3.2000           55302.699         3.2050           55326.961
         3.2100           55350.980         3.2150           55374.770         3.2200           55398.312
         3.2250           55421.621         3.2300           55444.703         3.2350           55467.551
         3.2400           55490.176         3.2450           55512.574         3.2500           55534.742
         3.2550           55556.691         3.2600           55578.430         3.2650           55599.941
         3.2700           55621.238         3.2750           55642.332         3.2800           55663.207
         3.2850           55683.875         3.2900           55704.344         3.2950           55724.594
         3.3000           55744.652         3.3050           55764.508         3.3100           55784.160
         3.3150           55803.621         3.3200           55822.887         3.3250           55841.953
         3.3300           55860.836         3.3350           55879.531         3.3400           55898.035
         3.3450           55916.352         3.3500           55934.488         3.3550           55952.445
         3.3600           55970.215         3.3650           55987.816         3.3700           56005.238
         3.3750           56022.480         3.3800           56039.555         3.3850           56056.457
